LINKS,MOOD,TITLE ,ARTIST
https://youtu.be/gJLVTKhTnog?si=MGqNXpb6ePUH38No,sad,Husn,Anuv Jain
https://youtu.be/ilNt2bikxDI?si=k_ALxnWfLHIxHiJ7,sad,Jo Tum Mere Ho,Anuv Jain
https://youtu.be/KUpwupYj_tY?si=sdjUbudML7RgLd_2,neutral,Tere Hawale,Arijit & Shilpa Rao
https://youtu.be/NaX-oGJEZI8?si=r7HKL4ZOtWekeeRL,happy,Aaj se teri ,Arijit Singh
https://youtu.be/GWNrPJyRTcA?si=OH8LbPjVHzam5FAL,happy,Chutammale,"Anirudh Ravichander, Ramajogayya Sastry and Shilpa Rao"
https://youtu.be/zZasH6qkn8M?si=jCO30KZEPyj6Qywv,sad,Teri Deewani,Kailash Kher
https://youtu.be/vgm1u2gPxzw?si=1d0xtH8Lq8IJGlrw,happy,Raanjhanaa,A.R. Rahmaan
https://youtu.be/mt9xg0mmt28?si=5mjKbuHoJ3GFLrBG,happy,Tumse hi,Mohit Chauhan
https://youtu.be/1seR_ckLXz4?si=d7vL-r7tCSTT15-S,happy,Golden Sparrow,"Sublahshini, G V Prakash Kumar, Dhanush,Arivu"
https://youtube.com/shorts/Z4Nrr2lf1b4?si=B23iVR-eSGAeyjna,sad,Sundari,Dhallapathi
https://youtu.be/5-Xoh7jKVo8?si=TwdRkI5xr5XfE5QW,fear,achyutam keshvam krishna damodaram,Alka Yagnik & Arjit Singh
https://youtu.be/TuUVVKVdZm4?si=iMm7DoWyuX8_Aeib,sad,Saiyan,Kailash Kher
https://youtu.be/k09uvR5eUao?si=fzSEfL9rbF060e_h,happy,Tum Tak,"Javed Ali, Keerthi Sagathia & Pooja AV"
https://youtu.be/a9Hxkc9YxGE?si=vfZJSVaJtJlFu5MN,happy,Bulleya,Vishal & Shekar
https://youtu.be/WKbwopSXLWU?si=7uLWfabOnvi8Sc6n,Calm,Chaar Kadam,"SHAAN, SHREYA GHOSHAL"
https://youtu.be/QM1IswXgIl8?si=2Hd-C1PeEoMTsKMe,Calm,Sawaar Loon,Monali Thakur
https://youtu.be/q7bVRZXNn5c?si=KJuDHuw0gYBe5za0,Sad,Tera Chehra,Arijit Singh
https://youtu.be/kKljXVVkgS4?si=LqDC0oOKiGN25KMe ,Sad,Sanam Teri Kasam,"Ankit Tiwari, Palak Muchhal"
https://youtu.be/fsBoqyXHNJ0?si=Xa-xp8ROKviymxbX,Sad,Bewajh,Himesh Reshmiya
https://youtu.be/gvyUuxdRdR4?si=raHVQsWAmbR05jT8,happy,Raatan Lambiya,Jubin Nautiyal & Asees Kaur
https://youtu.be/V7LwfY5U5WI?si=FdzovyQNIFZrGTse,sad,Ranjha,"B Praak, Jasleen Royal, Romy"
https://youtu.be/kyjg5kX4pT0?si=c6rKlVMe54dGEWik,calm,Dil  tu jaan tu,Gurnazar Ft. Kritika Yada
https://youtu.be/mZQH8CPQ-wo?si=6cw4MsmXEyX8C6Kv,calm,With you,AP Dhillon
https://youtu.be/ByIZIKFmHOA?si=tgREvqPjHdMITvnp,sad,Kabhi Tumhe,Darshan Raval
https://youtu.be/6FURuLYrR_Q?si=6ADB-PzqSby-dhw8,fear,Ae Dil Hai Mushkil,Arijit & Pritam
https://youtu.be/284Ov7ysmfA?si=cJ6Dn8hGrMWIHAoc,neutral,Channa Mereya,Arijit & Pritam
https://youtu.be/_P9YXESg5Es?si=BOq7k_TDJ783DsfT,happy,Kaise hua ,Vishal Mishra
https://youtu.be/B7SkAq_94J8?si=foBNYI-1eYvsm6BG,happy,Pehla Pyar,Armaan Malik
https://youtu.be/AgX2II9si7w?si=isT8-azh0pJv56KM,neutral,Tujhe Kitna Chahne lage ,Arijit Singh
https://youtu.be/VOLKJJvfAbg?si=WC2YBTUDZLgAeK48,fear,Bekhayali,Sachet Tandon
https://youtu.be/Njq4A5DAqRw?si=5LPXhGGsY9_kfEsY,happy,Mere Sohneya,Sachet Tandon & Parampara Thakur
